@RELATION clasificacion_clientes

@ATTRIBUTE Edad NUMERIC
@ATTRIBUTE Frecuencia_Compra NUMERIC
@ATTRIBUTE Valor_Total_Compra NUMERIC
@ATTRIBUTE Última_Compra NUMERIC
@ATTRIBUTE Método_Pago {Efectivo, Tarjeta, Transferencia}
@ATTRIBUTE Categoría_Cliente {Frecuente, Ocasional, Nuevo}

@DATA
56,21,3767.39,334,Tarjeta,Nuevo
69,22,7495.78,116,Transferencia,Ocasional
46,1,3929.89,6,Tarjeta,Nuevo
32,30,8291.64,136,Efectivo,Nuevo
60,26,5690.81,175,Transferencia,Nuevo
25,9,635.12,327,Efectivo,Nuevo
78,1,368.22,314,Efectivo,Nuevo
38,25,1338.52,214,Tarjeta,Nuevo
56,16,136.72,81,Transferencia,Frecuente
75,7,753.59,222,Efectivo,Nuevo
36,0,6917.14,102,Efectivo,Nuevo
40,8,5343.46,272,Transferencia,Frecuente
28,10,7499.11,13,Efectivo,Nuevo
28,21,9131.66,158,Efectivo,Nuevo
41,15,5851.5,151,Transferencia,Nuevo
70,6,7261.21,107,Transferencia,Ocasional
53,28,7570.81,187,Transferencia,Nuevo
57,9,3778.51,300,Transferencia,Nuevo
41,22,2410.85,97,Tarjeta,Nuevo
20,25,2050.45,130,Transferencia,Nuevo
39,2,2514.42,292,Tarjeta,Nuevo
70,17,2747.32,170,Tarjeta,Nuevo
19,24,2072.28,182,Tarjeta,Nuevo
41,23,8782.21,363,Efectivo,Nuevo
61,12,7569.99,38,Tarjeta,Nuevo
47,27,468.96,14,Tarjeta,Frecuente
55,25,2686.72,3,Efectivo,Frecuente
19,6,221.85,348,Efectivo,Nuevo
77,24,4981.65,209,Efectivo,Nuevo
38,3,4762.11,160,Transferencia,Nuevo
50,12,8313.71,15,Efectivo,Frecuente
29,19,3077.77,107,Efectivo,Nuevo
75,0,8163.86,310,Tarjeta,Nuevo
39,7,9679.74,226,Efectivo,Nuevo
78,13,884.08,169,Transferencia,Nuevo
61,15,7918.18,33,Efectivo,Nuevo
42,13,5899.56,250,Transferencia,Nuevo
66,11,4800.46,246,Efectivo,Nuevo
44,18,4205.36,268,Efectivo,Nuevo
76,22,7846.68,140,Efectivo,Frecuente
59,14,6393.61,273,Efectivo,Nuevo
45,27,8050.45,95,Transferencia,Nuevo
77,1,9031.51,226,Transferencia,Nuevo
33,1,6172.64,38,Tarjeta,Nuevo
32,22,9804.63,301,Transferencia,Nuevo
79,30,6080.88,28,Efectivo,Frecuente
79,21,6366.44,317,Tarjeta,Nuevo
64,18,5548.16,244,Tarjeta,Nuevo
79,24,910.02,235,Tarjeta,Nuevo
68,25,7263.97,184,Efectivo,Nuevo
61,30,5474.46,271,Transferencia,Nuevo
72,29,4509.1,235,Efectivo,Nuevo
69,28,9104.71,238,Tarjeta,Frecuente
74,21,2979.59,265,Efectivo,Nuevo
20,25,5236.02,358,Efectivo,Nuevo
54,25,6976.42,339,Transferencia,Nuevo
68,21,7964.72,64,Transferencia,Nuevo
24,16,4593.47,176,Tarjeta,Nuevo
38,19,8420.91,2,Efectivo,Frecuente
26,9,7689.18,141,Efectivo,Ocasional
56,5,662.36,157,Transferencia,Ocasional
35,14,458.61,323,Efectivo,Nuevo
21,21,6208.06,145,Efectivo,Frecuente
42,10,3474.13,292,Efectivo,Nuevo
77,27,2091.31,152,Transferencia,Nuevo
31,4,5796.5,192,Tarjeta,Ocasional
67,0,3415.63,72,Tarjeta,Nuevo
75,7,5372.63,304,Efectivo,Nuevo
26,20,4601.19,343,Tarjeta,Nuevo
43,27,5847.66,139,Transferencia,Nuevo
70,11,4003.0,186,Transferencia,Nuevo
19,11,6976.68,292,Tarjeta,Nuevo
37,4,1800.67,60,Tarjeta,Ocasional
